City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
171,Susanville,US,41.0,clear sky,40.42,-120.65,Red Lion Inn & Suites Susanville
173,Port Pirie,AU,66.2,scattered clouds,-33.18,138.02,John Pirie Motor Inn
176,Portland,US,44.6,overcast clouds,45.52,-122.68,The Bidwell Marriott Portland
177,Los Llanos De Aridane,ES,64.4,broken clouds,28.66,-17.92,Valle Aridane
178,Ponta Do Sol,PT,57.2,broken clouds,32.67,-17.1,Hotel do Campo
180,Andijon,UZ,26.6,scattered clouds,40.78,72.34,Bog'ishamol
184,Broome,US,33.8,clear sky,42.25,-75.83,Chenango Valley State Park
186,Grindavik,IS,35.6,light rain,63.84,-22.43,Northern Light Inn & Max's Restaurant
187,Hirado,JP,51.8,broken clouds,33.36,129.55,Samson Hotel
188,Unai,BR,69.51,clear sky,-16.36,-46.91,Hotel Regente
189,Obihiro,JP,30.2,few clouds,42.92,143.2,Tokachi Gardens Hotel
191,Tvoroyri,FO,41.0,light rain,61.56,-6.81,Hilmarsstova a Hobbit Hole
192,Kjollefjord,NO,35.62,overcast clouds,70.95,27.35,Hotel Nordkyn
193,Elko,US,42.8,clear sky,41.0,-115.5,
195,Kruisfontein,ZA,60.01,clear sky,-34.0,24.73,Oyster Bay House Rental
198,Jaisalmer,IN,56.62,clear sky,26.91,70.92,Hotel Fifu
204,Kermen,BG,33.8,scattered clouds,42.5,26.25,
206,Mbulu,TZ,61.16,overcast clouds,-3.85,35.53,Pasila Lodge
207,Olafsvik,IS,36.64,overcast clouds,64.89,-23.71,Hotel Olafsvik
209,San Cristobal,VE,65.39,overcast clouds,7.77,-72.22,Pirineos
211,Char Bhadrasan,BD,69.8,haze,23.32,90.22,Sohan Caykel Stor - সোহান সাইকেল ষ্টোর
215,Marabba,SD,69.15,clear sky,12.35,32.18,
218,Vestmanna,FO,41.0,light rain,62.16,-7.17,Budget Guesthouse Borgustova
220,Awbari,LY,57.52,clear sky,26.59,12.78,فندق أوباري
221,Esperance,AU,64.4,overcast clouds,-33.87,121.9,Hospitality Esperance
223,Atikokan,CA,27.19,broken clouds,48.76,-91.62,Quetico Inn (formerly Radisson)
229,Vila Franca Do Campo,PT,53.6,few clouds,37.72,-25.43,Pestana Bahia Praia
236,Mahmudabad,IN,55.4,mist,27.3,81.12,"Haider Services, Baitul Anwar"
237,Cullman,US,50.0,clear sky,34.17,-86.84,Days Inn by Wyndham Cullman
238,Pisco,PE,66.2,clear sky,-13.7,-76.22,Hotel San Isidro Oficial
239,Liwale,TZ,69.64,scattered clouds,-9.77,37.93,Samoma Lodge
241,Muskogee,US,48.2,clear sky,35.58,-95.33,
