City Id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
219,Oriximina,-1.77,-55.87,80.46,72,100,3.42,BR,overcast clouds
220,Awbari,26.59,12.78,57.52,37,0,10.67,LY,clear sky
221,Esperance,-33.87,121.9,64.4,59,100,14.99,AU,overcast clouds
222,Yumen,40.28,97.2,18.18,84,100,11.79,CN,overcast clouds
223,Atikokan,48.76,-91.62,27.19,97,60,3.06,CA,broken clouds
224,Pevek,69.7,170.31,12.47,96,100,11.74,RU,overcast clouds
225,Hervey Bay,-25.3,152.85,84.99,45,40,10.29,AU,scattered clouds
226,Kismayo,-0.36,42.55,79.25,86,1,10.71,SO,clear sky
227,Sorong,-0.88,131.25,82.83,75,100,2.17,ID,overcast clouds
228,Camopi,3.17,-52.32,73.89,94,97,2.44,GF,overcast clouds
229,Vila Franca Do Campo,37.72,-25.43,53.6,66,20,16.11,PT,few clouds
230,Khatanga,71.97,102.5,12.94,96,100,19.33,RU,light snow
231,Ixtapa,20.7,-105.2,78.8,78,40,9.17,MX,scattered clouds
232,Tazovskiy,67.47,78.7,2.37,93,100,12.19,RU,overcast clouds
233,Ransang,8.96,117.58,83.44,65,100,1.36,PH,overcast clouds
234,Upernavik,72.79,-56.15,3.16,71,100,5.55,GL,overcast clouds
235,Ust-Maya,60.42,134.53,-21.15,87,100,0.94,RU,overcast clouds
236,Mahmudabad,27.3,81.12,55.4,87,0,5.01,IN,mist
237,Cullman,34.17,-86.84,50.0,75,1,5.06,US,clear sky
238,Pisco,-13.7,-76.22,66.2,82,0,18.34,PE,clear sky
239,Liwale,-9.77,37.93,69.64,95,28,0.29,TZ,scattered clouds
240,Piacabucu,-10.41,-36.43,76.64,80,76,10.09,BR,broken clouds
241,Muskogee,35.58,-95.33,48.2,57,1,8.05,US,clear sky
242,Kaitangata,-46.28,169.85,60.01,51,94,5.01,NZ,overcast clouds
243,Nouadhibou,20.93,-17.03,64.4,77,0,11.41,MR,clear sky
244,Dodge City,37.75,-100.02,44.6,65,20,9.17,US,few clouds
245,Kokoda,-8.88,147.74,85.15,59,79,3.31,PG,light rain
246,Charters Towers,-20.1,146.27,86.68,32,0,9.75,AU,clear sky
247,Thalgau,47.83,13.25,33.01,95,75,4.7,AT,broken clouds
248,Gisborne,-38.65,178.0,66.0,70,100,1.99,NZ,light rain
249,Sakakah,29.97,40.21,55.4,87,75,4.7,SA,mist
250,Havre-Saint-Pierre,50.23,-63.6,30.2,92,90,3.36,CA,overcast clouds
251,Ola,59.58,151.28,5.58,86,66,12.48,RU,broken clouds
252,Charagua,-19.8,-63.22,77.54,54,0,10.0,BO,clear sky
253,Ulaanbaatar,47.91,106.88,-4.0,76,75,2.24,MN,broken clouds
254,Pirgos,35.12,25.72,59.0,79,0,6.22,GR,clear sky
255,Basco,20.45,121.97,77.11,76,99,28.66,PH,overcast clouds
256,Port Blair,11.67,92.75,81.37,79,100,16.49,IN,light rain
257,Omboue,-1.57,9.26,75.63,90,100,3.78,GA,moderate rain
258,Luxor,25.7,32.64,57.2,71,0,2.24,EG,clear sky
259,Luanda,-8.84,13.23,75.2,94,75,5.82,AO,broken clouds
260,Komsomolskiy,40.43,71.72,30.2,80,0,0.89,UZ,clear sky
261,Grand Gaube,-20.01,57.66,71.01,88,0,3.0,MU,clear sky
262,Setermoen,68.86,18.35,41.0,88,94,26.4,NO,overcast clouds
263,Kamiiso,41.82,140.65,39.2,51,75,11.41,JP,broken clouds
264,Nusaybin,37.08,41.22,50.0,66,20,2.24,TR,few clouds
265,Assiniboia,49.63,-105.98,26.6,79,95,21.92,CA,overcast clouds
266,Namibe,-15.2,12.15,71.22,78,85,3.49,AO,overcast clouds
267,Madaoua,14.07,5.96,75.56,22,0,6.31,NE,clear sky
268,Ambo,-10.13,-76.2,61.03,66,85,2.98,PE,light rain
269,Mahibadhoo,3.78,72.97,82.47,62,3,4.45,MV,clear sky
270,Venustiano Carranza,19.43,-99.1,69.8,30,5,6.93,MX,clear sky
271,Victoria,22.29,114.16,64.0,67,0,5.99,HK,clear sky
